Data;Nome do evento;Local;Tipo de evento;Tipo de testagem;Tipo de Intervenção;Tamanho estimado (faixa);Tamanho estimado (numero inteiro);no. de pessoas que pegaram o contato (publico de interesse);12/31/2021;nº de pessoas de deram o contatos (público de interesse)
04/27/2021;ÊÊÊ -  Trend;Instagram;Vídeo Pílula;Teste Rápido;Coletiva;;2125;100000;118712;3
05/01/2021;Dia do trabalho;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;2150;4300;4393;0
05/07/2021;Dúvidas sobre prevenção combinada;Instagram;IGTV;Teste Rápido;Coletiva;;2176;469;757;3
05/08/2021;Fica em casa;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;2200;4163;4247;2
05/09/2021;Precisamos falar sobre LGBTfobia;Instagram;IGTV;Não foi ofertada testagem;Coletiva;;2181;1316;1360;0
05/11/2021;Dizia que se prevenia;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;2250;2888;3001;0
05/12/2021;Live com o PoupaTrans;Instagram;Live;Não foi ofertada testagem;Coletiva;;4240;387;445;1
05/26/2021;PrEP falante;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;2349;3678;4315;1
05/28/2021;Dia da Família;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;2355;768;958;0
06/01/2021;Testagem 1;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;2363;4397;4569;1
06/04/2021;Testagem 2;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;2370;5585;6042;0
06/19/2021;PrEP1519 na Cidade Tiradentes;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;2380;3324;3450;
06/22/2021;Relação com pessoas trans no sigilo;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;2420;4142;4349;
06/26/2021;Projetos para LGBT em São Paulo;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;2430;1794;1943;
06/29/2021;HIV e transfemininas;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;2437;5252;5501;
07/03/2021;PrEP na Cidade Tiradentes;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;2450;1604;1875;
07/14/2021;LGBTfobia na escola;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;2459;2803;2896;
07/19/2021;Vídeo Erika Hilton;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;2462;3197;3334;
07/19/2021;Vídeo Erika Hilton;TikTok;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;4191;1254;2546;
07/21/2021;Adolescentes fazem sexo;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;2469;1518;1711;
07/24/2021;O que é PrEP;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;2475;7635;8060;
07/27/2021;Sexo na Pandemia;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;2478;1096;1249;
07/27/2021;Sexo na Pandemia;TikTok;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;4191;1743;2061;
08/02/2021;Preservativo incomoda?;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;2486;4408;5696;
08/02/2021;Preservativo incomoda?;TikTok;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;4191;2499;3120;
08/03/2021;Ensino de IST na escola;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;2497;2441;3532;
08/07/2021;Novo Kit de Prevenção;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;2600;8368;10257;
08/08/2021;Projeto Respeito tem nome;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;2615;4219;4764;
08/14/2021;Agosto Indígena;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3477;34844;37685;
08/14/2021;Agosto Indígena;TikTok;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;;;56400;
08/21/2021;PrEP para menores de 18;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3477;4639;4744;
08/24/2021;Agosto Lésbico e trans;TikTok;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3477;4829;667;
08/24/2021;Discutindo sobre PrEP;TikTok;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;;;449;
08/28/2021;Dia Internacional do Orgulho LGBT;Instagram;;;;;;;298;
08/29/2021;Agosto Lésbico e trans;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3477;4829;4635;
08/30/2021;Pedido do Kit;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3477;827;1059;
08/30/2021;Pedido do Kit;TikTok;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3477;827;734;
09/18/2021;Adolescentes no serviço de saúde;TikTok;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;5230;11400;12600;0
09/18/2021;Adolescentes no serviço de saúde;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3500;2389;2389;0
09/20/2021;Monogamia com Prevenção de IST;TikTok;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;5230;4138;4556;0
09/20/2021;Monogamia com Prevenção de IST;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3507;2732;2730;0
09/21/2021;Acesso a informação e continuade de PrEP;TikTok;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;5231;237;428;
09/21/2021;Acesso a informação e continuade de PrEP;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3509;1741;2071;0
09/23/2021;Visibilidade Bissexual;TikTok;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;5233;544;827;0
09/23/2021;Visibilidade Bissexual;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3511;1754;2800;0
09/24/2021;Divulgação do Projeto;TikTok;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3513;159;416;0
09/24/2021;Divulgação do Projeto;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;5237;183;678;0
09/29/2021;Setembro Amarelo;Instagram;IGTV;Não foi ofertada testagem;Coletiva;;;1472;1599;
