Data;Perfil;Início;Término;Total (em horas);Região;Bairro;Contatos receptivos;Nº de respostas aos contatos receptivos;Contatos ativos;Nº de pessoas que responderam ao contato ativo;Nº total de pessoas que responderam ao contato ativo e receptivo;Nº total de pessoas que interagiram;Nº total de HSH/ Trans & 15-19 identificadas;Nº de agendados;Observação;Visto Coordenação;Falhas identificadas
04/19/2021;Instagram;12:00:00 PM;03:00:00 PM;03:00:00 AM;GSP;;0;0;;;0;1;0;0;;;
04/19/2021;Reunião Educadories Par;04:00:00 PM;04:40:00 PM;12:40:00 AM;;;;;;;0;0;0;0;Reunião para alteração de forma de trabalho para modelo presencial.  (1h50m para repor);;
04/19/2021;Instagram;04:40:00 PM;06:00:00 PM;01:20:00 AM;GSP;;0;0;16;0;0;1;0;0;Contato ativo (1:20/2,5 para repor);;
04/20/2021;Reunião Intervenção Coletiva;11:00:00 AM;12:00:00 PM;01:00:00 AM;;;;;;;0;0;0;0;Alteração do roteiro para Reels;;
04/20/2021;Reunião Individual;12:00:00 PM;01:00:00 PM;01:00:00 AM;;;;;;;0;0;0;0;Reunião para compreensão e formalização do desligamento. ;;
04/20/2021;Instagram;01:00:00 PM;03:30:00 PM;02:30:00 AM;GSP;;0;0;14;0;0;0;0;0;Contato ativo ;;
04/20/2021;Reunião Geral;03:30:00 PM;06:30:00 PM;03:00:00 AM;;;0;0;0;0;0;0;0;0;(1h40, de reposição, 1h20 a mais a ser retirada de quinta)  ;;
04/21/2021;Feriado;01:00:00 PM;06:00:00 PM;05:00:00 AM;;;0;0;0;0;0;0;0;0;Usualmente são 3 horas de instagram e 2h de reunião de intervenção coletiva;;
04/22/2021;Intervenção Coletiva;09:00:00 AM;12:00:00 PM;03:00:00 AM;;;0;0;0;0;0;0;0;0;"Gravação do vídeo ""O que é ser um educador par?""";;
04/22/2021;Instagram;12:00:00 PM;01:00:00 PM;01:00:00 AM;GSP;;0;0;0;0;0;0;0;0;;;
04/23/2021;Instagram ;05:30:00 PM;06:00:00 PM;12:30:00 AM;GSP;;2;2;0;0;2;0;0;0;;;
04/24/2021;Instagram;0;0;0;GSP;;3;3;0;0;3;0;0;0;;;
04/25/2021;Instagram;0;0;0;GSP;;1;1;0;0;1;0;0;0;;;
04/26/2021;Instagram;02:00:00 PM;03:00:00 PM;01:00:00 AM;GSP;;0;0;0;0;0;2;0;0;;;
04/27/2021;Instagram;05:00:00 PM;06:00:00 PM;01:00:00 AM;GSP;;3;3;0;0;3;1;1;0;;;
04/28/2021;Instagram;05:30:00 PM;06:00:00 PM;12:30:00 AM;GSP;;3;3;0;0;3;2;1;0;;;
04/29/2021;Instagram;05:30:00 PM;06:00:00 PM;12:30:00 AM;GSP;;1;1;0;0;1;1;0;0;;;
04/30/2021;Instagram;05:30:00 PM;06:00:00 PM;12:30:00 AM;GSP;;2;2;0;0;2;5;0;0;;;
05/01/2021;Instagram;0;0;0;GSP;;0;0;0;0;0;1;0;0;;;
05/03/2021;Instagram;02:00:00 PM;03:00:00 PM;01:00:00 AM;GSP;;1;1;0;0;1;5;0;0;;;
05/04/2021;Instagram;05:00:00 PM;06:00:00 PM;01:00:00 AM;GSP;;0;0;0;0;0;1;0;0;;;
